Unnamed: 0,title,date,stock,predicted_label,predicted_score
963395.0,"Top Stocks In The Surety & Title Insurance Industry With The Highest Dividend Yield (ORI, FNF, FAF, STC) ",2010-04-13 05:00:00-04:00,ORI,Stock Trends,0.2128719687461853
102011.0,"Asterias Provides 6 Mo. Data Readout From Its AST-OPC1 Phase 1/2a Clinical Trial, Says Results Continue to Demonstrate Favorable Safety Profile, Potential for Durable Cell Engraftment at the Injury Site and Improved Motor Function",2018-07-17 07:05:00-04:00,AST,Asset Trends,0.11909280717372894
952152.0,ONEOK Partners to Participate in Bakken Day,2010-08-04 16:22:00-04:00,OKS,Employment,0.3101617693901062
189463.0,Shares of Broadsoft to Resume Trade at 4:35PM EST,2013-11-04 16:12:00-05:00,BSFT,Stock Trends,0.2624886631965637
535387.0,"Courier Corp Holder Gamco Reports 6.97%, Up From 0.05% Pn 12/31/2014",2015-03-30 16:20:00-04:00,GBL,Earnings,0.25441208481788635
315074.0,The Deal Says Citrix Is Not Exploring A Possible Sale,2019-04-04 09:37:00-04:00,CTXS,M&A,0.1443479210138321
831600.0,Marsh Subsidiary Marsh & McLennan To Acquire Benefits Advisory Group,2016-09-01 09:02:00-04:00,MMC,M&A,0.5274957418441772
1088375.0,UPDATE: Transocean and Chevron Moving off Lows After Announcing Well in Brazil Not Leaking,2011-11-15 15:15:00-05:00,RIG,Stock Trends,0.32705479860305786
409733.0,eFuture Announces Appointment of Ms. Ping Yu As CFO,2014-10-13 08:32:00-04:00,EFUT,Employment,0.21424013376235962
226541.0,Cedar Shopping Centers Closes Purchase of New Jersey Center for $26.3M ,2010-10-13 14:31:00-04:00,CDR,M&A,0.137282595038414
308071.0,"Jefferies: In Software, 'All Growth Is Not Created Equal'",2015-05-20 16:12:00-04:00,CSOD,Tech Developments,0.31613847613334656
435198.0,For The Bold: Bearish Energy ETF Ideas,2015-08-05 15:42:00-04:00,ERY,Investment Strategies,0.44096559286117554
1007454.0,Top 4 NYSE Stocks In The Industrial Equipment & Components Industry With The Highest Dividend Yield ,2013-07-18 04:26:00-04:00,PH,Stock Trends,0.2485271841287613
657874.0,Independence Holding Co. Raises Semi-Annual Dividend From $0.06 to $0.10/Share,2017-12-20 16:18:00-05:00,IHC,Fund Activities,0.10580641031265259
1244223.0,8 Biotechs With Coronavirus Vaccines In Development,2020-03-16 10:42:00-04:00,TNXP,Tech Developments,0.47373929619789124
384743.0,Stocks Hitting 52-Week Lows,2013-05-08 10:03:00-04:00,DSCO,Stock Trends,0.39201784133911133
1315944.0,PiperJaffray Downgrades Valley National to Neutral,2016-08-08 06:54:00-04:00,VLY,Stock Trends,0.11011918634176254
1027920.0,"Elliott Says Akzo CEO Buchmer, 'Clearly Not Listening To Shareholders' By Refusing To Meet PPG Proposal",2017-03-23 09:03:00-04:00,PPG,M&A,0.13321328163146973
307942.0,Cornerstone OnDemand Guides Q2 Revenues Of $137M-$140M Vs. $137.36M Estimate; Guides FY19 Revenues Of $562M-$570M Vs. $563.72M Estimate,2019-05-07 16:47:00-04:00,CSOD,Leadership,0.17966873943805695
1026546.0,"Powell Industries Reports Q4 EPS $(0.42) vs $(0.19) Est., Sales $95M vs $94M Est.",2017-12-05 16:20:00-05:00,POWL,Earnings,0.7261835336685181
1151251.0,Mind The Gap: 5 ETFs With Technical Gaps to Fill,2011-10-07 13:22:00-04:00,SLV,Investment Strategies,0.19553373754024506
487783.0,"Amazon Is Taking Over The Market, One Sector At A Time",2016-09-28 13:02:00-04:00,FDX,Leadership,0.22785735130310059
